latitude,longitude,time,genus,common_name,species,event_id,workgroup,topp_id,deploy_year,time_coverage_start,time_coverage_end,,month
36.35,-121.98,2005-08-15T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
36.39,-121.98,2005-08-16T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
36.47,-122.01,2005-08-17T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
36.46,-122.02,2005-08-18T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
36.39,-121.93,2005-08-19T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
36.11,-121.9,2005-08-20T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
35.85,-121.89,2005-08-21T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
35.9,-121.97,2005-08-22T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
35.75,-121.87,2005-08-23T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
35.300003,-121.84,2005-08-24T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
34.559998,-121.4,2005-08-25T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
33.79,-120.07,2005-08-26T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
33.270004,-118.77,2005-08-27T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
32.68,-117.57,2005-08-28T00:00:00Z,Balaenoptera,Blue Whale,musculus,220500500,Marine Mammal,2205005,2005,2005-08-15T00:00:00Z,2006-02-18T00:00:00Z,,August
