latitude,longitude,time,genus,common_name,species,event_id,workgroup,topp_id,deploy_year,time_coverage_start,time_coverage_end,,month
0.29000092,132.28998,2005-07-08T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.40000153,132.38,2005-07-09T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.51000214,132.6,2005-07-10T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.45999908,132.79999,2005-07-11T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.13999939,132.78,2005-07-12T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.11000061,132.72998,2005-07-13T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.30000305,132.53,2005-07-14T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.3199997,132.6,2005-07-15T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.33999634,132.68,2005-07-16T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.3600006,132.65,2005-07-17T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.26999664,132.53,2005-07-18T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-0.30999756,132.4,2005-07-19T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
-1.30E-04,132.31,2005-07-20T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.40000153,131.91,2005-07-21T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.94000244,131.78998,2005-07-22T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
1.300003,132.02002,2005-07-23T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
1.4000015,132.19,2005-07-24T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
1.2099991,132.16998,2005-07-25T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.9000015,131.73999,2005-07-26T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.7099991,131.45001,2005-07-27T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.6100006,131.38,2005-07-28T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.55000305,131.43,2005-07-29T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.48999786,131.62,2005-07-30T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.4300003,131.77002,2005-07-31T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,July
0.37999725,131.88,2005-08-01T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
0.48000336,131.97998,2005-08-02T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
0.47000122,131.97998,2005-08-03T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
0.66000366,132.04999,2005-08-04T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.0400009,132.06,2005-08-05T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.3799973,132.21002,2005-08-06T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.6399994,132.66,2005-08-07T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.5800018,133.06,2005-08-08T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.6200027,133.5,2005-08-09T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.6500015,134.08002,2005-08-10T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.5,134.63,2005-08-11T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
1.5699997,135.25,2005-08-12T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
2,135.75,2005-08-13T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
2.3899994,136.5,2005-08-14T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
2.7699966,137.33002,2005-08-15T00:00:00Z,Dermochelys,Leatherback Sea Turtle,coriacea,260501400,Turtle,2605014,2005,2005-07-08T00:00:00Z,2006-12-20T00:00:00Z,,August
